,L,D,=,",",;,+,-,*,/,(,),!,<,>,{,},SPACE,OTHER
0,23,24,25,5,6,7,8,28,27,11,12,26,29,30,19,20,0,1
1,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
2,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,Variable <var>,
3,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,Integer <int>,
4, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>, = <assign>,
5,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,~ <comma>,
6,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,; <semi>,
7,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,+ <addop>,
8,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,- <addop>,
9,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,* <mop>,
10,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,/ <mop>,
11,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,( $LP,
12,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,) $RP,
13,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,<= <relop>,
14,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,>= <relop>,
15, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>, == <relop>,
16,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,!= <relop>,
17,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,< <relop>,
18,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,> <relop>,
19,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,{ $LB,
20,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,} $RB,
21,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,/* $LCOMMENT,
22,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,*/ $RCOMMENT,
23,23,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
24,3,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
25,4,4,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
26,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,1
28,9,9,9,9,9,9,9,9,22,9,9,9,9,9,9,9,9,1
29,17,17,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1
30,18,18,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1
31,31,31,31,31,31,31,31,32,31,31,31,31,31,31,31,31,31,31
32,31,31,31,31,31,31,31,31,0,31,31,31,31,31,31,31,31,1
