,⊥,=,+,-,(,),*,/,IF,THEN,==,!=,>,<,>=,<=,{,},;
⊥,,<,,,,,,,<,,>,>,>,>,>,>,,,>
=,>,,<,<,<,,<,<,,,,,,,,,,,>
+,>,,>,>,<,>,<,<,,>,>,>,>,>,>,>,,,>
-,>,,>,>,<,>,<,<,,>,>,>,>,>,>,>,,,>
(,,,<,<,<,=,<,<,,,,,,,,,,,
),>,,>,>,,>,>,>,,,,,,,,,,,>
*,>,,>,>,<,>,>,>,,>,>,>,>,>,>,>,,,>
/,>,,>,>,<,>,>,>,,>,>,>,>,>,>,>,,,>
IF,>,,<,<,<,,<,<,,=,<,<,<,<,<,<,,,>
THEN,,<,,,,,,,<,,,,,,,,<,,>
==,,,<,<,<,,<,<,,>,,,,,,,,,
!=,,,<,<,<,,<,<,,>,,,,,,,,,
>,,,<,<,<,,<,<,,>,,,,,,,,,
<,,,<,<,<,,<,<,,>,,,,,,,,,
>=,,,<,<,<,,<,<,,>,,,,,,,,,
<=,,,<,<,<,,<,<,,>,,,,,,,,,
{,,,,,,,,,,<,,,,,,,,,<
},,,,,,,,,,,,,,,,,,,
;,,<,,,,,,,,,,,,,,,,,
